id,titlu,tip,data_start,data_end,an_start,an_end,secol,secol_n,locatie,zona_aprox,judet,regiune,lat,lng,participanti,descriere,rezultat,teritoriu,observatii,sursa
RM-001,Conflicte inter-tribale pentru resurse (Cultura Basarabi),Conflict inter-tribal,c. -800,c. -701,-800,-701,sec. VIII î.Hr.,-8,"Oltenia, Banat, Muntenia și Transilvania",1,—,Oltenia / Banat / Muntenia / Transilvania,45.3,23.5,Triburi tracice nordice (cultura Basarabi) — confruntări reciproce,"Generalizarea metalurgiei fierului favorizează apariția unei aristocrații militare, iar triburile locale se luptă între ele pentru controlul zăcămintelor de fier, minelor de sare din Transilvania, turmelor și rutelor comerciale. Apar numeroase așezări fortificate cu valuri de pământ, palisade și șanțuri, iar descoperirile de tezaure de arme și straturile de cenușă atestă conflicte repetate.",Consolidarea elitelor militare și fortificarea așezărilor; fără unificare politică,da,"Eveniment tip, fără nume proprii; distribuția spațială aproximativă.","batalii.csv — sec. VIII î.Hr., pct. 2"
RM-002,Incursiunile cimerienilor și ale pre-sciților,Incursiuni / invazii nomade,c. -800,c. -701,-800,-701,sec. VIII î.Hr.,-8,"Dobrogea, sudul Moldovei și estul Transilvaniei",1,—,Dobrogea / Moldova / Transilvania,45.8,26.5,Cimerieni și valuri timpurii de sciți (nomazi nord-pontici) vs. populații autohtone tracice (proto-geto-daci),"Primele valuri de nomazi călăreți din stepele nord-pontice (asociate cu cimerienii și cu pre-sciții) pătrund spre vest, aducând cavaleria ușoară, arcurile cu vârfuri de bronz și pumnalele de tip akinakes. Pătrunderea lor în Dobrogea, Moldova și estul Transilvaniei a generat ciocniri violente cu populația locală. Nu s-au păstrat nume de bătălii sau conducători, dovezile fiind exclusiv arheologice.",Conflicte locale de apărare; așezări incendiate și fortificații întărite,da,Fără izvoare scrise; datare pe bază de arheologie. Zona este aproximativă.,"batalii.csv — sec. VIII î.Hr., pct. 1"
RM-003,Presiunea triburilor ilire în sud-vest,Conflicte de frontieră,c. -800,c. -701,-800,-701,sec. VIII î.Hr.,-8,Sud-vestul teritoriului actual: sudul Olteniei și Banatul,1,—,Oltenia / Banat,44.9,22.3,Triburi ilire (Balcanii de Vest) vs. comunități tracice locale,"La frontiera din sud-vest (Oltenia, Banat) se înregistrează interacțiuni și conflicte cu triburile ilire din vestul Balcanilor. Presiunea i-a determinat pe localnici să-și fortifice așezările pe forme de relief greu accesibile (promontorii, dealuri).","Întărirea apărării locale; conflicte de intensitate redusă, de frontieră",da,Zonă aproximativă; fără evenimente nominale.,"batalii.csv — sec. VIII î.Hr., pct. 3"
RM-004,Conflicte inter-tribale geto-trace,Conflict inter-tribal,c. -700,c. -601,-700,-601,sec. VII î.Hr.,-7,Teritoriul geto-dac (fără localizare precisă),1,—,Geto-Dacia,45.5,25.0,Triburi geto-trace (confruntări reciproce),Numărul așezărilor fortificate autohtone crește; triburile de geți se află adesea în război unele cu altele pentru controlul zăcămintelor și al centrelor de prelucrare a metalelor (mai ales fierul) și pentru rutele comerciale de-a lungul Dunării și spre Marea Neagră.,Fără unificare; continuarea fragmentării tribale,da,Eveniment tip — nu există nume de confruntări.,"batalii.csv — sec. VII î.Hr., pct. 3"
RM-005,Expansiunea și invaziile sciților,Invazii / incursiuni nomade,c. -700,c. -601,-700,-601,sec. VII î.Hr.,-7,"Dobrogea, Moldova și bazinul Mureșului",1,—,Dobrogea / Moldova / Transilvania (est),46.0,25.5,Sciți (nomazi indo-iranieni nord-pontici) vs. populații geto-trace locale,"Sciții pătrund masiv în spațiul carpato-danubiano-pontic, intrând în coliziune cu populațiile geto-trace din Dobrogea, Moldova și din interiorul arcului carpatic (bazinul Mureșului). Dovezile sunt vârfurile de săgeți scitice cu trei muchii înfipte în palisade, straturile de cenușă ale fortificațiilor incendiate și apariția pumnalelor scurte (akinakes).",Raiduri și devastări; întărirea apărării locale,da,Fără evenimente nominale.,"batalii.csv — sec. VII î.Hr., pct. 1"
RM-006,Întemeierea coloniei Histria și conflictele de coastă,Conflict colonial / de frontieră,c. -657,c. -600,-657,-600,sec. VII î.Hr.,-7,Litoralul Mării Negre — Histria (jud. Constanța),0,Constanța,Dobrogea,44.548,28.775,Coloniști greci din Milet (Histria) vs. comunități locale de geți,"La mijlocul secolului VII î.Hr. (în jurul anului 657 î.Hr.), grecii din Milet întemeiază Histria, prima colonie grecească de pe țărmul vestic al Mării Negre. Stabilirea nu a fost complet pașnică: colonizarea a generat conflicte de frontieră cu geții pentru controlul pământurilor agricole și al rutelor comerciale, cu tensiuni și asedii sporadice din partea triburilor din hinterland în primele decenii.",Consolidarea coloniei după o perioadă de tensiuni; ulterior alianțe comerciale,da,Datarea întemeierii (c. 657 î.Hr.) este convențională.,"batalii.csv — sec. VII î.Hr., pct. 2"
RM-007,Conflictele dintre geți și coloniile grecești pontice,Conflicte de frontieră,c. -600,c. -501,-600,-501,sec. VI î.Hr.,-6,"Litoralul Mării Negre: Histria, Tomis (Constanța), Callatis (Mangalia)",1,Constanța,Dobrogea,44.0,28.6,"Cetăți grecești (Histria, Tomis, Callatis) vs. aristocrație getică locală","Pe litoral se înființează cetăți grecești (Histria în sec. VII, Tomis și Callatis în sec. VI–V î.Hr.). Relațiile dintre greci și aristocrația getică alternează între schimburi comerciale intense și ciocniri violente pentru controlul teritoriilor agricole (chora).","Tensiuni recurente, fără eliminarea coloniilor",da,"Eveniment tip, fără bătălii nominale.",batalii.csv — sec. VI î.Hr.
RM-008,Incursiunile scitice la vest de Prut și în Câmpia Română,Incursiuni de jaf,c. -600,c. -501,-600,-501,sec. VI î.Hr.,-6,Vest de Prut (Moldova) și Câmpia Română,1,—,Moldova / Muntenia,46.2,27.0,Sciți nomazi vs. triburi sedentare geto-dace,"Triburile scitice pătrund la vest de Prut și în Câmpia Română pentru pradă sau extinderea zonelor de pășunat, intrând în conflict direct cu triburile sedentare geto-dace.",Conflicte de pradă și apărare; fără schimbări teritoriale majore,da,Zonă aproximativă.,batalii.csv — sec. VI î.Hr.
RM-009,Războaie inter-tribale în Epoca Fierului (Hallstatt târziu),Conflict inter-tribal,c. -600,c. -501,-600,-501,sec. VI î.Hr.,-6,Spațiul geto-dac (Hallstatt târziu),1,—,Geto-Dacia,45.5,25.0,Uniuni de triburi geto-dace (confruntări reciproce),"Comunitățile autohtone sunt fragmentate în uniuni de triburi care se atacă reciproc pentru resurse, pământ și prestigiu militar, confirmate arheologic prin tezaure de arme și așezări incendiate.",Slăbiciune politică cronică înainte de unificarea dacică,da,"Eveniment tip, fără nume proprii.",batalii.csv — sec. VI î.Hr.
RM-010,Campania lui Darius I împotriva sciților (trecerea Dunării),Campanie / invazie,-513,-513,-513,-513,sec. VI î.Hr.,-6,Dobrogea; podul de vase peste Dunăre în zona Isaccea (jud. Tulcea),1,Tulcea / Constanța,Dobrogea,45.27,28.46,Imperiul Persan Ahemenid (Darius I) vs. geții din Dobrogea și sciții,"Darius I organizează o expediție uriașă împotriva sciților din nordul Mării Negre, al cărei traseu traversează Dobrogea. Spre deosebire de celelalte triburi trace, care s-au predat, geții din Dobrogea opun o rezistență îndârjită; deși învinși numeric, sunt lăudați de Herodot ca fiind „cei mai viteji și mai drepți dintre traci”. După înfrângerea geților, Darius ordonă construirea unui pod de vase peste Dunăre (în zona actualului oraș Isaccea) pentru a trece în stepele scitice.",Victorie persană la Dunăre; geții învinși dar lăudați de Herodot,da,Datarea 513 î.Hr.; localizarea podului este aproximativă.,batalii.csv — sec. VI î.Hr.
