Latitudine,Longitudine,Categorie
44.680496658,22.532812357,fortificație
44.746747673,22.418674167,burgus
44.601884074,22.259403925,burgus
47.01606822,21.703208904,anomalie necunoscută
46.936926644,21.671022392,tumul
47.164267154,22.331297994,fortificație
45.49047889,22.536169307,anomalie necunoscută
44.745364598,22.439648509,anomalie necunoscută
44.726295115,22.442957067,anomalie necunoscută
44.730534033,22.448430061,anomalie necunoscută
45.665178907,23.160984622,fortificație
45.815263109,22.938955422,anomalie necunoscută
44.479362718,22.848847654,fortificație
44.93443104,22.366063834,anomalie necunoscută
45.364945019,21.517481737,anomalie necunoscută
45.500093584,22.425405979,fortificație
45.635950004,22.849246722,fortificație
45.458365091,22.333148718,anomalie necunoscută
45.561479941,22.18641758,fortificație
45.533671325,22.464799583,anomalie necunoscută
45.524437846,22.262434959,fortificație
45.504447454,22.365383506,tumul
45.912989633,23.150789288,fortificație
45.586246367,22.369719297,tumul
45.534806145,22.381734252,fortificație
45.861630609,23.044194305,anomalie necunoscută
45.567384882,22.334902883,anomalie necunoscută
44.737714712,22.739414782,fortificație
45.299036509,22.484430671,fortificație
45.303913376,22.488462031,anomalie necunoscută
45.325572162,22.441729903,fortificație
45.351458286,22.40631938,fortificație
45.233454067,21.57524894,anomalie necunoscută
45.085404095,21.539375329,fortificație
45.151115261,21.553111507,anomalie necunoscută
45.519253156,22.745487191,fortificație
46.064,22.3,anomalie necunoscută
44.71936742,22.646398237,fortificație
45.324399182,22.350229025,castru
45.947152641,21.375271814,anomalie necunoscută
45.324625483,22.36958921,fortificație
45.500693295,22.530323267,anomalie necunoscută
45.517401798,22.495958805,castru
45.527688715,22.450023293,castru
45.394652123,22.348904014,fortificație
45.588652762,22.147805393,fortificație
45.295040789,22.52821106,anomalie necunoscută
45.191680874,22.491015494,fortificație
45.585047401,23.427968552,castru
45.550707224,23.524784428,castru
46.017170399,22.350019813,fortificație
45.518168589,22.58015871,castru
45.840052247,23.422442079,castru
45.661187492,23.131502867,castru
45.477706607,22.904095414,anomalie necunoscută
45.666628033,23.131400979,anomalie necunoscută
45.671989351,23.126554763,anomalie necunoscută
45.889975185,23.42758659,fortificație
45.377697307,23.357576642,fortificație
45.6716025,23.131961008,fortificație
45.496917044,23.583156816,anomalie necunoscută
44.874155485,21.579575704,castru
45.821979196,23.408072968,fortificație
45.833783099,23.408825607,fortificație
45.811045523,23.379933332,fortificație
45.206734342,23.685443435,castru
44.145857115,23.613367206,fortificație
44.149330761,23.614308045,fortificație
45.523358418,22.758056793,fortificație
45.780160613,22.79273776,fortificație
46.38083796,22.144396333,fortificație
46.207082102,23.07040218,burgus
45.722836696,23.136723554,castru
45.7237325,23.116149936,castru
45.709719944,23.218569555,burgus
45.629875205,23.12652257,anomalie necunoscută
46.16805021,21.011096524,anomalie necunoscută
45.445633497,21.788782627,fortificație
44.145879568,23.613565196,anomalie necunoscută
44.583831706,23.434710536,fortificație
45.33767,22.32233,fortificație
44.047,23.608,anomalie necunoscută
44.14572598,23.613374205,fortificație
45.151874232,23.54811375,anomalie necunoscută
45.154531244,23.539557643,anomalie necunoscută
45.159263073,23.545455821,anomalie necunoscută
45.146306469,23.541537114,anomalie necunoscută
45.151389836,23.840724553,anomalie necunoscută
45.148945849,23.841958369,anomalie necunoscută
44.930169733,22.334364343,fortificație
